TITLE,c
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,24/07/09
TIME,17:28:58
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,-0.2
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  800.0000
LASTX,  200.0000
NPOINTS,    3001
FIRSTY,     0.00076
MAXY,     0.74634
MINY,    -0.00008
XYDATA
631.6000,-5.03818E-005
631.4000,-4.44124E-005
631.2000,-4.04726E-005
631.0000,-3.66521E-005
630.8000,-3.37868E-005
630.6000,-2.85935E-005
630.4000,-2.76383E-005
630.2000,-2.4594E-005
630.0000,-2.48327E-005
629.8000,-1.90424E-005
629.6000,-1.68337E-005
629.4000,-1.5998E-005
629.2000,-1.03868E-005
629.0000,-6.62604E-006
628.8000,-6.20818E-006
628.6000,-3.9995E-006
628.4000,-2.38776E-007
628.2000,0
628.0000,-3.9995E-006
627.8000,-3.10409E-006
627.6000,-2.68623E-006
627.4000,-4.65614E-006
627.2000,-3.9995E-006
627.0000,-7.52145E-006
626.8000,-6.20818E-006
626.6000,-9.49135E-006
626.4000,-1.06255E-005
626.2000,-9.49135E-006
626.0000,-1.06255E-005
625.8000,-1.17E-005
625.6000,-1.03868E-005
625.4000,-8.83472E-006
625.2000,-9.96891E-006
625.0000,-1.17597E-005
624.8000,-1.24164E-005
624.6000,-1.28342E-005
624.4000,-1.59383E-005
624.2000,-1.77291E-005
624.0000,-1.90424E-005
623.8000,-1.88036E-005
623.6000,-1.77291E-005
623.4000,-1.37296E-005
623.2000,-1.43863E-005
623.0000,-1.17597E-005
622.8000,-9.96891E-006
622.6000,-9.49135E-006
622.4000,-9.31227E-006
622.2000,-9.0735E-006
622.0000,-6.68573E-006
621.8000,-1.13419E-006
621.6000,2.44746E-006
621.4000,6.0291E-006
621.2000,9.0735E-006
621.0000,1.4446E-005
620.8000,1.77888E-005
620.6000,2.14899E-005
620.4000,2.46536E-005
620.2000,2.81756E-005
620.0000,3.64134E-005
