TITLE	Azo-Br-0min
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/07/04
TIME	15:17:27
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	-0.2
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  650.0000
LASTX	  300.0000
NPOINTS	    1751
FIRSTY	    -0.00028
MAXY	     0.38715
MINY	    -0.00036
XYDATA
529.0000	0.00365889
528.8000	0.00367542
528.6000	0.00368557
528.4000	0.00365787
528.2000	0.00369506
528.0000	0.0037803
527.8000	0.00383367
527.6000	0.00387152
527.4000	0.00387647
527.2000	0.00392387
527.0000	0.00399073
526.8000	0.00403484
526.6000	0.00402302
526.4000	0.0040771
526.2000	0.00416676
526.0000	0.00419142
525.8000	0.00422079
525.6000	0.00428353
525.4000	0.0043317
525.2000	0.00432018
525.0000	0.00434585
524.8000	0.00439718
524.6000	0.00441921
524.4000	0.00448661
524.2000	0.00455651
524.0000	0.00456283
523.8000	0.00460343
523.6000	0.00464647
523.4000	0.00467219
523.2000	0.00471213
523.0000	0.00475941
522.8000	0.00479307
522.6000	0.00478585
522.4000	0.00487068
522.2000	0.00494923
522.0000	0.00500803
521.8000	0.00506677
521.6000	0.00505304
521.4000	0.00510098
521.2000	0.0051944
521.0000	0.00523666
520.8000	0.00528507
520.6000	0.00533277
520.4000	0.0053613
520.2000	0.00542452
520.0000	0.00548767
519.8000	0.00550713
519.6000	0.00553716
519.4000	0.00563064
519.2000	0.00571624
519.0000	0.00569989
518.8000	0.00572335
518.6000	0.0058216
518.4000	0.00587216
518.2000	0.00589461
518.0000	0.00594362
517.8000	0.00598612
517.6000	0.0060559
517.4000	0.0061107
517.2000	0.00615708
517.0000	0.00622555
516.8000	0.00627432
516.6000	0.0063456
516.4000	0.00637861
516.2000	0.00641747
516.0000	0.00646021
515.8000	0.00652259
515.6000	0.00664216
515.4000	0.00670012
515.2000	0.00667517
515.0000	0.0067163
514.8000	0.00680441
514.6000	0.00684255
514.4000	0.00690636
514.2000	0.00700647
514.0000	0.00708204
513.8000	0.00712043
513.6000	0.00719248
513.4000	0.0072545
513.2000	0.00729467
513.0000	0.00730757
512.8000	0.00735914
512.6000	0.00748707
