TITLE,
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/07/01
TIME,17:50:46
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,-0.2
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  900.0000
LASTX,  200.0000
NPOINTS,    3501
FIRSTY,     0.00109
MAXY,    10.00000
MINY,    -0.88292
XYDATA
783.6000,0.000246298
783.4000,0.000255431
783.2000,0.000252088
783.0000,0.000219734
782.8000,0.000216988
782.6000,0.000227494
782.4000,0.000209705
782.2000,0.000242119
782.0000,0.000248327
781.8000,0.000231673
781.6000,0.000245223
781.4000,0.000235911
781.2000,0.000229225
781.0000,0.000248148
780.8000,0.000265818
780.6000,0.000259848
780.4000,0.000232986
780.2000,0.000215496
780.0000,0.000197528
779.8000,0.000202363
779.6000,0.000217465
779.4000,0.000238776
779.2000,0.000258953
779.0000,0.000227673
778.8000,0.000226778
778.6000,0.000247432
778.4000,0.000231732
778.2000,0.000231911
778.0000,0.000240746
777.8000,0.000223495
777.6000,0.000227016
777.4000,0.000233643
777.2000,0.000223196
777.0000,0.000198602
776.8000,0.000211914
776.6000,0.000226539
776.4000,0.000208869
776.2000,0.000211257
776.0000,0.000241462
775.8000,0.000252088
775.6000,0.000217227
775.4000,0.000232329
775.2000,0.000266952
775.0000,0.000229941
774.8000,0.000210183
774.6000,0.000252028
774.4000,0.000245999
774.2000,0.000229941
774.0000,0.000264206
773.8000,0.000256505
773.6000,0.000237164
773.4000,0.000271369
773.2000,0.000251252
773.0000,0.000223912
772.8000,0.000233523
772.6000,0.00024976
772.4000,0.000251133
772.2000,0.000225942
772.0000,0.00023209
771.8000,0.000228151
771.6000,0.000215018
771.4000,0.000225464
771.2000,0.00022236
771.0000,0.000207735
770.8000,0.000240209
770.6000,0.000239015
770.4000,0.000223315
770.2000,0.000264624
770.0000,0.000243492
769.8000,0.00023412
769.6000,0.000246357
769.4000,0.00022636
769.2000,0.000214839
769.0000,0.000221704
768.8000,0.000256207
768.6000,0.000246357
768.4000,0.000211257
768.2000,0.00020881
768.0000,0.000237045
767.8000,0.000231255
767.6000,0.000195438
767.4000,0.000210183
767.2000,0.000245044
767.0000,0.000261042
766.8000,0.000239493
766.6000,0.000230359
766.4000,0.00024773
766.2000,0.000246357
766.0000,0.000239075
765.8000,0.000243313
765.6000,0.000255073
765.4000,0.000240627
765.2000,0.000225047
