TITLE,231010-Ru(phen)3-100
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,23/10/10
TIME,13:52:06
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,-0.2
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  900.0000
LASTX,  200.0000
NPOINTS,    3501
FIRSTY,     0.00211
MAXY,     1.46183
MINY,     0.00191
XYDATA
833.0000,0.00251115
832.8000,0.00251079
832.6000,0.00251306
832.4000,0.00251587
832.2000,0.00251813
832.0000,0.00252094
831.8000,0.00252369
831.6000,0.00252428
831.4000,0.00252524
831.2000,0.00252697
831.0000,0.0025284
830.8000,0.00252721
830.6000,0.0025296
830.4000,0.00253151
830.2000,0.00253192
830.0000,0.00253342
829.8000,0.00253401
829.6000,0.00253324
829.4000,0.002533
829.2000,0.00253383
829.0000,0.00253425
828.8000,0.00253688
828.6000,0.00253903
828.4000,0.00253861
828.2000,0.00253879
828.0000,0.0025395
827.8000,0.00253992
827.6000,0.00254046
827.4000,0.00254106
827.2000,0.00254315
827.0000,0.00254374
826.8000,0.00254326
826.6000,0.00254362
826.4000,0.00254404
826.2000,0.00254512
826.0000,0.0025444
825.8000,0.0025444
825.6000,0.00254458
825.4000,0.00254297
825.2000,0.00254374
825.0000,0.0025444
824.8000,0.00254458
824.6000,0.00254428
824.4000,0.00254488
824.2000,0.00254506
824.0000,0.0025441
823.8000,0.00254488
823.6000,0.00254523
823.4000,0.00254631
823.2000,0.00254643
823.0000,0.0025472
822.8000,0.00254685
822.6000,0.0025484
822.4000,0.00254625
822.2000,0.00254529
822.0000,0.00254643
821.8000,0.00254655
821.6000,0.00254577
821.4000,0.0025447
821.2000,0.00254476
821.0000,0.00254488
820.8000,0.00254601
820.6000,0.00254559
820.4000,0.00254637
820.2000,0.00254613
820.0000,0.00254679
819.8000,0.00254512
819.6000,0.00254398
819.4000,0.00254243
819.2000,0.00254243
819.0000,0.00254243
818.8000,0.00254243
818.6000,0.00254261
818.4000,0.00254213
818.2000,0.00254416
818.0000,0.00254655
817.8000,0.00254786
817.6000,0.00254852
817.4000,0.00254917
817.2000,0.00254888
817.0000,0.0025484
816.8000,0.00254744
816.6000,0.00254744
816.4000,0.00254673
816.2000,0.00254601
816.0000,0.00254685
815.8000,0.00254792
815.6000,0.00254738
815.4000,0.00254691
815.2000,0.00254977
815.0000,0.00255132
814.8000,0.00255329
814.6000,0.00255282
814.4000,0.0025521
814.2000,0.00255317
814.0000,0.00255317
813.8000,0.00255138
813.6000,0.00255114
813.4000,0.00255359
813.2000,0.00255497
813.0000,0.00255693
812.8000,0.00255717
812.6000,0.00255855
812.4000,0.00255855
812.2000,0.00255723
812.0000,0.00255658
811.8000,0.00255688
811.6000,0.0025558
811.4000,0.00255538
811.2000,0.00255526
811.0000,0.00255479
810.8000,0.00255622
810.6000,0.00255741
810.4000,0.00255765
810.2000,0.00255729
810.0000,0.00255855
809.8000,0.00255789
809.6000,0.00255777
809.4000,0.00255562
809.2000,0.00255664
809.0000,0.00255873
808.8000,0.00255723
808.6000,0.00255729
808.4000,0.00255604
808.2000,0.00255634
808.0000,0.0025558
807.8000,0.00255628
807.6000,0.00255616
807.4000,0.00255938
807.2000,0.0025595
807.0000,0.00255992
806.8000,0.00255938
806.6000,0.00256022
806.4000,0.00255908
